id,Property Name,City,Star Rating,Total Price,Main Distance (km)
40,Peninsula Worth Hotel,Makkah,4,MYR 912.44,0.7
41,Ruve Al Madinah Hotel,Makkah,4,MYR 879.85,0.6
42,SAJA By Warwick Madinah Hotel,Makkah,4,MYR 868.99,0.8
43,Elaf Al Taqwa Hotel,Makkah,4,MYR 868.99,0.45
44,City Features Apartments,Makkah,4,MYR 860.30,12.5
45,Emaar Royal Hotel,Makkah,4,MYR 858.13,0.7
46,Mysk Al Balad,Makkah,4,MYR 844.66,0.25
47,Maghribi Hotel 2,Makkah,4,MYR 844.01,2.2
48,Waqf Othman Bin Affan Hotel,Makkah,4,MYR 843.76,0.8
49,Nour Althuria Hotel - Elaf Almaqam,Makkah,4,MYR 830.97,0.7
50,Le Bosphorus Hotel - Waqf Safi,Makkah,4,MYR 830.97,0.8
51,Golden Tulip Al-Zahabi,Makkah,4,MYR 829.54,0.5
52,New Madinah Hotel,Makkah,4,MYR 820.11,0.35
53,Millennium Al Aqeeq Hotel,Makkah,4,MYR 814.68,0.6
54,Tulip Inn Al Daar Rawafid,Makkah,4,MYR 800.16,0.7
55,Saraya Harmony Hotel C,Makkah,4,MYR 787.52,0.4
56,Samama Ajyad Hotel Makkah,Makkah,4,MYR 782.09,0.7
57,Nasamat Makkah Hotel,Makkah,4,MYR 750.43,1.2
58,Jiwar Al Madina Hotel,Makkah,4,MYR 739.14,0.35
59,Le Meridien Medina,Makkah,4,MYR 738.64,5.3
60,Taba Al Salam,Makkah,4,MYR 723.33,0.7
61,Mias Al Madina Hotel,Makkah,4,MYR 706.05,0.5
62,Roaa Andalus,Makkah,4,MYR 706.05,0.25
